iter	Passed	Remaining
0	156	155861
1	157	78482
2	158	52609
3	159	39694
4	161	32078
5	162	26900
6	163	23186
7	164	20403
8	165	18252
9	167	16557
10	168	15158
11	169	13980
12	170	12970
13	171	12099
14	172	11358
15	173	10692
16	174	10111
17	176	9603
18	177	9158
19	178	8764
20	180	8396
21	182	8097
22	183	7796
23	184	7508
24	185	7243
25	186	7002
26	188	6783
27	189	6584
28	191	6397
29	193	6251
30	197	6178
31	199	6020
32	200	5861
33	201	5713
34	202	5569
35	202	5434
36	204	5312
37	205	5193
38	206	5079
39	207	4973
40	208	4869
41	209	4770
42	210	4692
43	212	4607
44	213	4524
45	214	4444
46	215	4366
47	216	4293
48	217	4222
49	218	4154
50	219	4088
51	220	4025
52	221	3964
53	222	3905
54	223	3848
55	225	3797
56	226	3748
57	227	3697
58	228	3646
59	229	3596
60	230	3548
61	231	3503
62	232	3460
63	233	3418
64	235	3380
65	236	3344
66	237	3307
67	238	3271
68	240	3242
69	241	3214
70	243	3181
71	244	3149
72	245	3117
73	246	3084
74	247	3053
75	248	3022
76	249	2992
77	250	2965
78	252	2938
79	253	2911
80	254	2890
81	256	2868
82	256	2837
83	258	2813
84	259	2789
85	260	2765
86	261	2742
87	262	2720
88	263	2698
89	264	2676
90	265	2656
91	267	2635
92	268	2615
93	270	2608
94	271	2589
95	272	2568
96	273	2548
97	274	2528
98	275	2510
99	277	2500
100	279	2483
101	280	2466
102	281	2450
103	282	2432
104	283	2415
105	286	2413
106	287	2398
107	288	2381
108	289	2365
109	290	2349
110	291	2335
111	292	2320
112	293	2305
113	294	2291
114	295	2277
115	296	2262
116	298	2249
117	299	2235
118	300	2223
119	301	2210
120	302	2197
121	303	2183
122	304	2170
123	305	2157
124	306	2144
125	307	2132
126	308	2118
127	309	2105
128	310	2094
129	311	2082
130	312	2072
131	313	2062
132	315	2055
133	318	2055
134	320	2055
135	321	2045
136	322	2034
137	324	2024
138	325	2013
139	326	2003
140	327	1994
141	328	1983
142	329	1973
143	331	1971
144	332	1962
145	334	1953
146	335	1945
147	336	1936
148	337	1927
149	338	1918
150	339	1908
151	340	1899
152	341	1890
153	342	1881
154	343	1875
155	345	1871
156	347	1863
157	348	1859
158	350	1851
159	351	1843
160	351	1833
161	352	1825
162	353	1817
163	355	1813
164	356	1806
165	357	1798
166	359	1790
167	362	1794
168	363	1787
169	364	1780
170	365	1772
171	366	1765
172	367	1759
173	369	1752
174	370	1745
175	371	1738
176	372	1731
177	373	1724
178	374	1718
179	376	1713
180	377	1706
181	378	1701
182	379	1695
183	380	1688
184	382	1683
185	383	1677
186	384	1671
187	385	1665
188	386	1659
189	387	1653
190	388	1646
191	389	1641
192	391	1638
193	392	1632
194	394	1628
195	395	1622
196	396	1615
197	397	1610
198	398	1605
199	399	1599
200	401	1594
201	402	1589
202	403	1584
203	404	1579
204	406	1577
205	408	1572
206	409	1567
207	410	1562
208	411	1558
209	412	1552
210	413	1547
211	414	1542
212	416	1537
213	417	1531
214	418	1526
215	419	1522
216	420	1517
217	421	1512
218	422	1507
219	423	1502
220	425	1498
221	426	1493
222	427	1488
223	428	1483
224	429	1478
225	430	1473
226	431	1469
227	432	1464
228	433	1459
229	434	1455
230	436	1452
231	437	1448
232	438	1443
233	439	1438
234	440	1434
235	441	1429
236	442	1425
237	444	1421
238	445	1417
239	446	1413
240	447	1408
241	448	1404
242	449	1400
243	450	1397
244	452	1394
245	453	1390
246	454	1386
247	455	1382
248	457	1378
249	458	1374
250	459	1370
251	460	1366
252	461	1362
253	462	1358
254	463	1354
255	464	1350
256	466	1348
257	467	1344
258	468	1341
259	469	1337
260	471	1333
261	472	1329
262	473	1326
263	474	1322
264	475	1319
265	476	1315
266	477	1311
267	478	1307
268	479	1303
269	481	1301
270	482	1297
271	483	1294
272	484	1290
273	486	1289
274	487	1286
275	488	1282
276	490	1279
277	491	1277
278	492	1273
279	493	1270
280	495	1268
281	497	1265
282	498	1262
283	499	1259
284	500	1255
285	501	1252
286	502	1249
287	503	1245
288	505	1242
289	506	1239
290	507	1236
291	508	1233
292	510	1230
293	512	1230
294	513	1227
295	514	1223
296	515	1220
297	516	1217
298	518	1216
299	520	1213
300	521	1210
301	522	1207
302	523	1203
303	524	1200
304	525	1198
305	527	1196
306	528	1193
307	530	1191
308	532	1190
309	533	1188
310	535	1186
311	536	1183
312	537	1180
313	539	1177
314	540	1174
315	541	1172
316	543	1170
317	544	1166
318	546	1165
319	547	1163
320	548	1161
321	550	1158
322	551	1155
323	552	1152
324	553	1149
325	554	1146
326	556	1144
327	557	1142
328	558	1139
329	559	1136
330	560	1133
331	562	1130
332	563	1128
333	564	1125
334	565	1122
335	566	1119
336	567	1116
337	568	1113
338	569	1110
339	571	1109
340	572	1106
341	574	1104
342	575	1101
343	576	1099
344	577	1096
345	578	1094
346	579	1091
347	580	1088
348	582	1085
349	583	1083
350	584	1080
351	586	1078
352	587	1076
353	588	1073
354	589	1070
355	596	1079
356	597	1076
357	598	1073
358	600	1071
359	601	1069
360	602	1066
361	603	1064
362	604	1061
363	605	1058
364	607	1056
365	608	1054
366	609	1051
367	611	1049
368	612	1046
369	613	1044
370	614	1042
371	616	1040
372	617	1038
373	618	1035
374	619	1033
375	621	1030
376	622	1028
377	623	1026
378	624	1023
379	625	1021
380	627	1018
381	628	1016
382	629	1014
383	631	1012
384	632	1010
385	633	1008
386	635	1006
387	636	1004
388	637	1001
389	639	999
390	640	997
391	641	995
392	642	992
393	643	990
394	645	988
395	646	986
396	647	983
397	648	981
398	650	979
399	651	976
400	652	974
401	653	972
402	654	970
403	655	967
404	656	965
405	657	962
406	659	960
407	661	959
408	662	956
409	663	954
410	664	952
411	665	949
412	666	947
413	667	944
414	668	942
415	669	939
416	670	937
417	671	934
418	672	932
419	673	929
420	674	927
421	676	926
422	677	924
423	678	921
424	679	919
425	680	917
426	681	914
427	682	912
428	683	910
429	685	908
430	687	907
431	688	904
432	689	902
433	691	902
434	693	900
435	694	898
436	695	896
437	697	894
438	698	892
439	699	890
440	700	888
441	702	886
442	703	884
443	704	882
444	706	880
445	707	878
446	708	876
447	709	874
448	711	872
449	712	870
450	713	868
451	714	866
452	715	864
453	716	862
454	718	860
455	719	858
456	720	856
457	722	854
458	723	853
459	725	851
460	726	849
461	727	847
462	728	845
463	730	843
464	731	841
465	733	840
466	734	838
467	753	855
468	754	853
469	755	851
470	756	849
471	757	847
472	758	845
473	759	843
474	760	841
475	762	838
476	763	836
477	764	834
478	765	832
479	767	831
480	768	829
481	769	827
482	770	825
483	772	823
484	773	820
485	774	818
486	775	816
487	776	814
488	777	812
489	778	810
490	779	808
491	781	806
492	783	805
493	784	803
494	785	801
495	786	799
496	790	799
497	791	797
498	792	796
499	794	794
500	795	792
501	799	792
502	801	791
503	803	790
504	804	788
505	807	787
506	808	786
507	810	784
508	811	782
509	813	781
510	815	780
511	816	778
512	818	776
513	819	775
514	821	773
515	822	771
516	823	769
517	824	767
518	825	765
519	826	762
520	828	761
521	829	759
522	830	757
523	831	755
524	833	754
525	835	752
526	838	752
527	840	751
528	841	749
529	843	747
530	844	746
531	846	744
532	848	743
533	851	742
534	853	741
535	855	740
536	861	743
537	863	741
538	865	740
539	866	738
540	867	736
541	869	734
542	870	732
543	871	730
544	873	729
545	875	728
546	876	726
547	878	724
548	881	723
549	882	722
550	884	720
551	885	718
552	887	717
553	890	716
554	892	715
555	893	713
556	895	712
557	897	710
558	898	708
559	899	706
560	900	705
561	901	702
562	903	700
563	905	700
564	907	698
565	908	696
566	909	694
567	911	692
568	912	691
569	913	689
570	914	687
571	916	685
572	917	683
