iter	Passed	Remaining
0	1	131
1	2	108
2	3	99
3	3	92
4	4	90
5	5	86
6	6	85
7	7	84
8	8	82
9	9	81
10	9	79
11	10	79
12	11	78
13	12	77
14	13	77
15	14	75
16	15	73
17	15	72
18	16	71
19	17	69
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	63
27	24	62
28	24	60
29	25	59
30	26	58
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	25
68	56	25
69	56	24
70	57	23
71	58	22
72	59	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
